Fe (at%),Ni  (at%),Co (at%),Coercivity (A/m),,,,,,,,,,,,,,,,,,,,,,
33.15,39.95,26.91,79.58,,,,,,,,,,,,,,,,,,,,,,
31.72,41.65,26.62,79.58,,,,,,,,,,,,,,,,,,,,,,
26.69,50.66,22.65,79.58,,,,,,,,,,,,,,,,,,,,,,
59.36,31.98,8.67,79.58,,,,,,,,,,,,,,,,,,,,,,
58.74,32.05,9.21,79.58,,,,,,,,,,,,,,,,,,,,,,
58.13,32.12,9.75,79.58,,,,,,,,,,,,,,,,,,,,,,
57.51,32.19,10.3,79.58,,,,,,,,,,,,,,,,,,,,,,
56.93,32.19,10.88,79.58,,,,,,,,,,,,,,,,,,,,,,
56.32,32.26,11.42,79.58,,,,,,,,,,,,,,,,,,,,,,
55.73,32.27,12,79.58,,,,,,,,,,,,,,,,,,,,,,
55.12,32.34,12.54,79.58,,,,,,,,,,,,,,,,,,,,,,
54.5,32.41,13.09,79.58,,,,,,,,,,,,,,,,,,,,,,
53.92,32.41,13.66,79.58,,,,,,,,,,,,,,,,,,,,,,
53.31,32.49,14.21,79.58,,,,,,,,,,,,,,,,,,,,,,
52.69,32.56,14.75,79.58,,,,,,,,,,,,,,,,,,,,,,
52.11,32.56,15.33,79.58,,,,,,,,,,,,,,,,,,,,,,
51.49,32.63,15.87,79.58,,,,,,,,,,,,,,,,,,,,,,
50.91,32.64,16.45,79.58,,,,,,,,,,,,,,,,,,,,,,
50.33,32.64,17.03,79.58,,,,,,,,,,,,,,,,,,,,,,
49.75,32.64,17.61,79.58,,,,,,,,,,,,,,,,,,,,,,
49.17,32.64,18.19,79.58,,,,,,,,,,,,,,,,,,,,,,
48.55,32.72,18.73,79.58,,,,,,,,,,,,,,,,,,,,,,
47.97,32.72,19.31,79.58,,,,,,,,,,,,,,,,,,,,,,
47.39,32.72,19.89,79.58,,,,,,,,,,,,,,,,,,,,,,
46.81,32.73,20.47,79.58,,,,,,,,,,,,,,,,,,,,,,
46.26,32.66,21.08,79.58,,,,,,,,,,,,,,,,,,,,,,
45.68,32.66,21.66,79.58,,,,,,,,,,,,,,,,,,,,,,
45.1,32.67,22.24,79.58,,,,,,,,,,,,,,,,,,,,,,
44.48,32.74,22.78,79.58,,,,,,,,,,,,,,,,,,,,,,
43.87,32.81,23.32,79.58,,,,,,,,,,,,,,,,,,,,,,
43.22,32.95,23.83,79.58,,,,,,,,,,,,,,,,,,,,,,
42.57,33.09,24.34,79.58,,,,,,,,,,,,,,,,,,,,,,
41.92,33.23,24.85,79.58,,,,,,,,,,,,,,,,,,,,,,
41.2,33.51,25.29,79.58,,,,,,,,,,,,,,,,,,,,,,
42.23,33.3,24.47,79.58,,,,,,,,,,,,,,,,,,,,,,
41.58,33.44,24.98,79.58,,,,,,,,,,,,,,,,,,,,,,
40.9,33.64,25.46,79.58,,,,,,,,,,,,,,,,,,,,,,
40.19,33.92,25.9,79.58,,,,,,,,,,,,,,,,,,,,,,
39.37,34.4,26.23,79.58,,,,,,,,,,,,,,,,,,,,,,
38.55,34.88,26.57,79.58,,,,,,,,,,,,,,,,,,,,,,
37.66,35.5,26.84,79.58,,,,,,,,,,,,,,,,,,,,,,
36.85,35.98,27.17,79.58,,,,,,,,,,,,,,,,,,,,,,
36.94,36.25,26.8,79.58,,,,,,,,,,,,,,,,,,,,,,
36.13,36.73,27.14,79.58,,,,,,,,,,,,,,,,,,,,,,
35.04,37.76,27.2,79.58,,,,,,,,,,,,,,,,,,,,,,
34.09,38.51,27.4,79.58,,,,,,,,,,,,,,,,,,,,,,
34.35,38.44,27.2,79.58,,,,,,,,,,,,,,,,,,,,,,
33,40.01,26.99,79.58,,,,,,,,,,,,,,,,,,,,,,
31.77,41.31,26.91,79.58,,,,,,,,,,,,,,,,,,,,,,
31.04,42.68,26.28,79.58,,,,,,,,,,,,,,,,,,,,,,
30.08,44.05,25.88,79.58,,,,,,,,,,,,,,,,,,,,,,
29.08,45.82,25.1,79.58,,,,,,,,,,,,,,,,,,,,,,
27.9,47.87,24.23,79.58,,,,,,,,,,,,,,,,,,,,,,
27.12,49.44,23.44,79.58,,,,,,,,,,,,,,,,,,,,,,
26.2,51.89,21.91,79.58,,,,,,,,,,,,,,,,,,,,,,
25.88,52.78,21.34,79.58,,,,,,,,,,,,,,,,,,,,,,
26.18,52.16,21.66,79.58,,,,,,,,,,,,,,,,,,,,,,
26.62,51.28,22.1,79.58,,,,,,,,,,,,,,,,,,,,,,
23.68,56.06,20.27,79.58,,,,,,,,,,,,,,,,,,,,,,
25.05,54.21,20.74,79.58,,,,,,,,,,,,,,,,,,,,,,
23.06,57.9,19.05,79.58,,,,,,,,,,,,,,,,,,,,,,
18.17,65.68,16.15,79.58,,,,,,,,,,,,,,,,,,,,,,
16.4,68.07,15.52,79.58,,,,,,,,,,,,,,,,,,,,,,
14.88,69.99,15.14,79.58,,,,,,,,,,,,,,,,,,,,,,
