Fe (at%),Ni (at%),Co (at%),Curie Temperature (K)
65.25,25.81,8.94,473
64.58,27.43,7.99,473
65.88,24.5,9.62,473
64.93,26.6,8.48,473
64.38,28.32,7.3,473
64.27,29.24,6.5,473
64.21,30.04,5.75,473
64.33,30.73,4.94,473
64.54,31.47,3.99,473
64.82,32.07,3.1,473
65.26,32.62,2.12,473
65.74,33.01,1.24,473
66.26,33.36,0.39,473
58.61,17.58,23.82,673
58.3,18.3,23.41,673
57.85,19.19,22.96,673
57.54,20.05,22.41,673
57.24,21,21.76,673
57.02,21.77,21.21,673
56.72,22.72,20.56,673
56.59,23.47,19.94,673
56.49,24.3,19.21,673
56.34,25.33,18.33,673
56.31,26.28,17.42,673
56.29,27.08,16.62,673
56.27,27.91,15.82,673
56.35,28.69,14.97,673
56.57,29.4,14.02,673
56.7,30.18,13.12,673
56.91,30.63,12.46,673
57.08,31.32,11.6,673
57.33,31.95,10.72,673
57.48,32.61,9.91,673
57.69,33.32,8.99,673
57.73,34.01,8.25,673
57.87,34.67,7.46,673
57.97,35.39,6.64,673
57.96,36.1,5.94,673
57.48,40.86,1.66,673
57.23,41.75,1.01,673
56.88,42.7,0.42,673
2.42,97.26,0.32,673
2.01,97.15,0.84,673
1.54,97.01,1.45,673
1.03,96.81,2.16,673
0.68,96.64,2.68,673
0.34,96.53,3.13,673
12.01,87.74,0.26,773
11.55,87.91,0.53,773
10.91,88.12,0.97,773
10.16,88.5,1.34,773
9.52,88.62,1.87,773
8.77,88.85,2.38,773
8.04,89,2.97,773
3.7,89.02,7.27,773
3.31,88.94,7.75,773
2.68,88.83,8.49,773
2.18,88.75,9.07,773
1.69,88.61,9.7,773
1.21,88.55,10.24,773
0.75,88.3,10.95,773
55.27,15.13,29.6,773
54.85,15.77,29.38,773
54.46,16.6,28.94,773
54,17.46,28.53,773
53.63,18.27,28.11,773
53.27,19.13,27.6,773
52.96,19.99,27.05,773
52.65,20.91,26.44,773
52.37,21.72,25.92,773
52.06,22.58,25.36,773
51.86,23.41,24.73,773
51.68,24.22,24.11,773
51.6,24.9,23.49,773
51.43,25.74,22.83,773
51.21,26.63,22.17,773
51.26,27.26,21.49,773
51.19,28.03,20.78,773
51.08,28.83,20.09,773
51.04,29.55,19.41,773
50.87,30.53,18.61,773
50.97,31.24,17.79,773
50.95,31.96,17.09,773
50.88,32.74,16.38,773
50.89,33.37,15.75,773
50.94,34,15.07,773
50.9,34.8,14.3,773
50.94,35.46,13.6,773
50.83,36.35,12.82,773
50.8,37.29,11.9,773
50.35,45.41,4.23,773
50.08,46.3,3.62,773
50.11,47.08,2.82,773
49.85,47.88,2.27,773
49.58,48.77,1.65,773
