Fe (at%),Ni (at%),Co (at%),Electrical Resistivity (??·cm)
33.49,0.18,66.32,8
33.88,0.58,65.54,8
34.56,0.88,64.56,8
34.98,1.37,63.65,8
35.61,1.77,62.62,8
36.29,2.07,61.64,8
37.02,2.27,60.71,8
37.75,2.47,59.78,8
38.53,2.57,58.9,8
39.36,2.57,58.07,8
40.19,2.58,57.24,8
40.92,2.78,56.31,8
41.69,2.88,55.43,8
42.52,2.88,54.6,8
43.4,2.79,53.82,8
36.75,1.97,61.28,8
37.48,2.17,60.35,8
38.17,2.47,59.37,8
39.04,2.37,58.58,8
39.72,2.67,57.6,8
40.55,2.68,56.77,8
41.38,2.68,55.94,8
42.2,2.68,55.11,8
43.08,2.59,54.33,8
41.38,2.68,55.94,8
33.99,0.19,65.83,8
34.37,0.58,65.05,8
34.74,1.17,64.08,8
35.42,1.47,63.1,8
36.15,1.67,62.17,8
36.84,1.97,61.19,8
37.57,2.17,60.26,8
38.3,2.37,59.33,8
39.12,2.37,58.5,8
39.85,2.57,57.57,8
40.73,2.48,56.79,8
41.56,2.48,55.96,8
42.34,2.59,55.08,8
43.16,2.59,54.25,8
35.37,1.08,63.55,8
35.96,1.57,62.47,8
36.69,1.77,61.54,8
37.37,2.07,60.56,8
38.15,2.17,59.68,8
38.97,2.18,58.85,8
39.7,2.38,57.92,8
40.53,2.38,57.09,8
38.21,2.37,59.42,8
36.11,1.77,62.12,8
35.8,1.38,62.82,8
45.2,2.5,52.3,8
46.17,2.21,51.62,8
47,2.21,50.79,8
47.97,1.92,50.11,8
48.81,1.73,49.46,8
49.58,1.34,49.08,8
50.57,0.86,48.58,8
51.37,0.56,48.06,8
52.06,0.17,47.76,8
45.79,2.31,51.9,8
46.62,2.31,51.07,8
47.64,1.92,50.44,8
48.51,1.83,49.66,8
52.46,10.79,36.75,10
53.26,10.01,36.73,10
54.01,9.33,36.66,10
54.77,8.64,36.59,10
55.6,7.96,36.44,10
56.3,7.37,36.32,10
56.97,6.69,36.34,10
57.6,6.1,36.3,10
58.3,5.51,36.19,10
58.97,4.83,36.2,10
59.66,4.44,35.9,10
60.51,3.56,35.93,10
