Fe (at%),Ni (at%),Co (at%),Maximum Permeability
0.39,34.54,65.08,1000
0.8,34.88,64.33,1000
1.27,35.08,63.65,1000
1.83,35.01,63.16,1000
1.97,35.42,62.61,1000
2.47,35.35,62.18,1000
2.74,35.62,61.64,1000
3.23,35.69,61.08,1000
3.4,36.03,60.57,1000
3.89,36.1,60.01,1000
4.25,36.3,59.45,1000
4.52,36.57,58.91,1000
4.85,36.84,58.31,1000
5.08,37.18,57.73,1000
5.41,37.46,57.14,1000
5.7,37.8,56.5,1000
6,38,56,1000
6.27,38.27,55.46,1000
6.45,38.61,54.94,1000
6.66,38.88,54.46,1000
6.89,39.22,53.88,1000
7.2,39.43,53.38,1000
7.31,39.77,52.92,1000
7.7,40.04,52.26,1000
7.86,40.52,51.62,1000
7.88,41.06,51.06,1000
8.02,41.47,50.51,1000
8.23,41.74,50.03,1000
8.74,41.88,49.38,1000
9.01,42.15,48.84,1000
9.1,42.56,48.35,1000
9.06,43.1,47.85,1000
9.28,43.58,47.15,1000
9.48,43.98,46.54,1000
9.56,44.39,46.04,1000
9.92,44.6,45.48,1000
9.92,45.07,45.01,1000
9.67,45.68,44.65,1000
9.78,46.02,44.19,1000
9.78,46.5,43.72,1000
9.99,46.77,43.24,1000
10.06,47.32,42.62,1000
9.96,47.86,42.18,1000
9.95,48.34,41.71,1000
9.94,48.81,41.24,1000
10.03,49.22,40.75,1000
9.99,49.77,40.25,1000
10,50.31,39.69,1000
10.03,50.72,39.25,1000
10.02,51.2,38.78,1000
9.98,51.74,38.28,1000
10.03,52.22,37.76,1000
10.05,52.63,37.32,1000
10.14,53.03,36.83,1000
10.53,53.17,36.3,1000
10.37,53.71,35.91,1000
10.07,54.33,35.61,1000
9.66,55.01,35.33,1000
9.59,55.62,34.79,1000
10.01,53.17,36.82,1000
10.19,53.51,36.3,1000
10.36,53.85,35.79,1000
10.23,54.46,35.31,1000
9.77,55.14,35.09,1000
9.72,55.82,34.46,1000
10.26,51.88,37.87,1000
10.55,52.22,37.24,1000
10.57,52.62,36.8,1000
10.6,53.03,36.37,1000
10.56,53.58,35.86,1000
10.21,50.58,39.2,1000
10.39,50.92,38.69,1000
10.25,51.54,38.21,1000
10.58,51.81,37.61,1000
10.01,49.02,40.97,1000
10.16,49.43,40.42,1000
10.21,49.9,39.89,1000
10.38,50.24,39.37,1000
10.5,50.58,38.92,1000
10.7,50.99,38.31,1000
10.51,51.6,37.89,1000
9.95,45,45.05,1000
9.79,45.55,44.66,1000
9.9,46.02,44.08,1000
9.83,46.5,43.67,1000
10.15,46.91,42.94,1000
10.14,47.39,42.47,1000
10.13,47.86,42,1000
10.22,48.27,41.51,1000
10.2,48.88,40.92,1000
10.43,49.22,40.34,1000
10.58,49.63,39.79,1000
10.6,50.04,39.36,1000
10.03,45.07,44.9,1000
9.84,45.68,44.48,1000
10.02,46.02,43.96,1000
10.1,46.43,43.47,1000
10.33,46.77,42.89,1000
10.23,47.32,42.45,1000
10.17,47.79,42.04,1000
10.59,48,41.42,1000
10.51,48.61,40.88,1000
10.57,49.29,40.14,1000
9.95,46.16,43.89,1000
10,46.64,43.37,1000
10.02,45.21,44.77,1000
9.94,45.82,44.23,1000
10.21,46.09,43.69,1000
10.24,46.5,43.26,1000
8.43,41.81,49.76,1000
8.7,42.08,49.22,1000
9.03,42.35,48.62,1000
8.83,42.96,48.2,1000
8.92,43.37,47.71,1000
9.24,43.64,47.11,1000
9.35,44.12,46.53,1000
9.34,44.6,46.06,1000
9.83,44.66,45.5,1000
9.82,45.14,45.04,1000
9.51,44.39,46.1,1000
9.27,43.71,47.02,1000
9.26,44.19,46.55,1000
9.14,42.35,48.51,1000
9.1,42.9,48,1000
9.4,43.1,47.5,1000
9.49,43.51,47.01,1000
9.63,43.92,46.46,1000
9.76,44.46,45.78,1000
8.3,41.94,49.75,1000
8.67,42.15,49.19,1000
8.65,42.76,48.59,1000
8.86,43.03,48.11,1000
7.99,40.72,51.29,1000
8.26,40.99,50.75,1000
8.44,41.33,50.23,1000
8.52,41.74,49.74,1000
8.15,41.33,50.52,1000
8.42,41.6,49.98,1000
2.21,35.28,62.5,1000
2.54,35.56,61.9,1000
3.03,35.62,61.35,1000
3.41,35.89,60.69,1000
3.77,36.1,60.13,1000
4.04,36.37,59.59,1000
4.33,36.71,58.96,1000
4.72,36.98,58.3,1000
4.99,37.25,57.76,1000
5.26,37.52,57.22,1000
5.62,37.73,56.65,1000
5.79,38.07,56.14,1000
6.06,38.34,55.6,1000
6.36,38.68,54.96,1000
6.62,38.95,54.42,1000
6.8,39.29,53.91,1000
6.85,39.77,53.38,1000
7.15,39.97,52.87,1000
7.18,40.38,52.44,1000
7.76,40.38,51.86,1000
7.77,40.92,51.3,1000
7.82,41.4,50.78,1000
0.27,34.62,65.11,1000
0.01,34.57,65.42,1000
9.56,56.55,33.89,1000
9.22,57.42,33.36,1000
8.85,58.25,32.91,1000
8.36,59.17,32.47,1000
7.88,60.04,32.08,1000
