Fe (at%),Ni (at%),Co (at%),Saturation Induction (T)
2.25,87,10.74,0.8
1.36,86.02,12.62,0.8
0.91,85.53,13.56,0.8
1.93,86.6,11.46,0.8
1.67,86.35,11.98,0.8
0.66,85.14,14.2,0.8
0.31,84.82,14.87,0.8
6.06,90.63,3.31,0.8
6.56,91.04,2.39,0.8
6.96,91.51,1.53,0.8
7.43,91.88,0.7,0.8
7.79,92.13,0.08,0.8
2.7,87.27,10.03,0.8
70.61,29.16,0.23,0.8
70.1,29.3,0.59,0.8
69.42,29.6,0.98,0.8
68.69,29.83,1.47,0.8
68.14,30.34,1.52,0.8
67.94,30.78,1.28,0.8
68.24,31.01,0.75,0.8
68.83,30.89,0.28,0.8
0.4,68.58,31.02,1
1.05,69.24,29.72,1
1.39,70.21,28.4,1
1.95,71.03,27.02,1
2.27,72.33,25.4,1
3.27,72.82,23.9,1
3.81,73.97,22.22,1
4.51,74.78,20.7,1
5.3,75.44,19.27,1
5.5,76.41,18.09,1
6.51,76.9,16.59,1
3,72.82,24.18,1
3.42,73.64,22.94,1
3.98,74.46,21.56,1
4.68,75.27,20.04,1
5.25,76.09,18.67,1
11.41,80.98,7.61,1
12.63,81.31,6.05,1
13.78,81.8,4.42,1
14.92,82.29,2.79,1
16.15,82.62,1.23,1
16.86,82.86,0.28,1
15.45,82.69,1.86,1
14.21,82.21,3.58,1
13.16,81.67,5.17,1
11.98,81.19,6.83,1
5.95,76.72,17.34,1
6.73,77.48,15.79,1
2.26,71.63,26.12,1
1.13,69.83,29.04,1
1.63,70.68,27.69,1
0.1,68,31.9,1
0.81,68.9,30.29,1
0.38,14.05,85.57,1
0.56,14.56,84.88,1
0.72,15.25,84.03,1
1.01,15.85,83.14,1
0.92,16.61,82.46,1
1.1,17.22,81.69,1
1.1,17.91,80.99,1
1.17,18.51,80.32,1
1.11,19.29,79.59,1
1.02,20.03,78.95,1
0.96,20.61,78.43,1
0.7,21.28,78.01,1
0.46,21.77,77.77,1
1.08,53.43,45.49,1.2
2.14,54.08,43.78,1.2
3.28,54.57,42.14,1.2
4.37,54.9,40.73,1.2
5.21,55.72,39.07,1.2
5.86,56.37,37.77,1.2
6.72,56.86,36.42,1.2
7.65,57.51,34.84,1.2
8.21,58.33,33.46,1.2
8.91,59.14,31.94,1.2
10,59.47,30.53,1.2
10.56,60.29,29.15,1.2
10.85,61.1,28.05,1.2
11.19,62.08,26.73,1.2
12.06,62.57,25.37,1.2
12.54,63.55,23.91,1.2
13.1,64.36,22.53,1.2
13.52,65.18,21.3,1.2
14.17,65.83,20,1.2
11.84,62.73,25.43,1.2
12.26,63.55,24.19,1.2
10.96,61.43,27.61,1.2
18.52,70.73,10.75,1.2
19.61,71.05,9.34,1.2
20.39,71.71,7.9,1.2
21.1,72.52,6.38,1.2
22.1,73.01,4.89,1.2
23.33,73.34,3.33,1.2
24.47,73.83,1.7,1.2
49.05,50.73,0.22,1.2
21.57,72.69,5.74,1.2
22.8,73.01,4.19,1.2
25.14,74.23,0.64,1.2
23.95,73.69,2.36,1.2
14.35,66.31,19.34,1.2
65.12,34.7,0.18,1.2
64.45,34.7,0.85,1.2
63.9,34.68,1.42,1.2
61.47,34.42,4.11,1.2
61.13,34.07,4.8,1.2
61.1,33.43,5.47,1.2
61.61,32.62,5.77,1.2
62.28,31.95,5.77,1.2
63.11,31.35,5.54,1.2
63.96,30.77,5.27,1.2
64.75,30.27,4.99,1.2
65.56,29.78,4.66,1.2
66.43,29.34,4.22,1.2
67.2,28.93,3.88,1.2
68.01,28.56,3.43,1.2
68.92,28.17,2.91,1.2
69.8,27.82,2.37,1.2
70.61,27.48,1.91,1.2
71.36,27.13,1.51,1.2
72.13,26.81,1.06,1.2
72.85,26.51,0.64,1.2
1.13,1.12,97.75,1.2
1.39,2.26,96.35,1.2
1.37,3.4,95.23,1.2
1.58,4.38,94.04,1.2
1.86,5.19,92.94,1.2
1.98,6.33,91.68,1.2
1.83,7.47,90.7,1.2
2.03,8.45,89.52,1.2
2.15,9.59,88.26,1.2
2.19,10.9,86.91,1.2
2.45,12.04,85.51,1.2
2.51,13.02,84.47,1.2
2.31,15.62,82.06,1.2
1.93,16.93,81.14,1.2
1.83,18.23,79.93,1.2
2.41,14.28,83.3,1.2
0.8,0.37,98.83,1.2
1.93,18.86,79.22,1.2
1.72,19.8,78.47,1.2
1.56,20.8,77.64,1.2
1.15,21.88,76.97,1.2
0.65,22.76,76.59,1.2
0.95,32.41,66.64,1.4
1.82,32.9,65.28,1.4
2.47,33.55,63.98,1.4
3.31,34.37,62.33,1.4
4.17,34.86,60.97,1.4
4.6,35.67,59.73,1.4
5.6,36.16,58.24,1.4
6.3,36.98,56.72,1.4
7.01,37.79,55.2,1.4
7.73,38.28,53.98,1.4
8.49,39.26,52.24,1.4
9.14,39.91,50.95,1.4
9.92,40.57,49.51,1.4
10.71,41.22,48.07,1.4
11.13,42.04,46.83,1.4
11.86,42.53,45.62,1.4
12.84,43.34,43.82,1.4
13.4,44.16,42.44,1.4
14.19,44.81,41,1.4
14.67,45.79,39.54,1.4
15.59,46.44,37.97,1.4
16.37,47.09,36.53,1.4
16.99,48.07,34.93,1.4
17.72,48.56,33.72,1.4
18.34,49.54,32.12,1.4
18.77,50.36,30.88,1.4
19.33,51.17,29.5,1.4
20.19,51.66,28.14,1.4
20.62,52.48,26.9,1.4
21.62,52.97,25.41,1.4
15.06,46.12,38.83,1.4
15.56,46.77,37.67,1.4
16.43,47.26,36.31,1.4
